,lista
649,"@anamablaba buena idea, anis, pero ellos saben que yo ni un pancake puedo hacer bien"
650,@emacavi @ViuditaCR como dijo ud Algo Similar entonces.
651,"Bueno por dicha ya estoy en Zarcero, no estoy en la calle. haha"
652,"Que se hace cuando mi mamá tiene facebook, y no me da pelota por estar metida en el celular."
653,@zeroanima tómese de algo de una vez y listo
654,"@valealfaroq Yo ando en las mismas, pero no tanto dolor sino inflamación y parezco embarazada. ¡Qué horror!"
655,En enero la ropa está más barata por si no sabían
656,Que triste todo este cierre de año para mi 🇨🇷 linda
657,"@mishafantana si obvio eso es lo importante, gracias por preguntar"
658,En mi pueblo anda una patrulla de @fuerzapublicaCR recolectando alimentos no perecederos. En mi casa ya donamos #CostaRicaUnida
659,"@Brenes0791 Yo estoy super ansiosa, el asueto me da la tranquilidad de estar con mis papás, nada más"
660,@meLiKosha @sputnk no vi esto igual no podía hacer mucho
661,"@Maluavi @edmed82 @figuerescr invitadísimo a hacer las cosas diferente, hay que involucrarse y dar espacios a la mejor gente."
662,@massiel_ml amiga siiii y la pobresa extrema sigue
663,Yo ya estoy con gripe y ni me he mojado
664,@andynuinsa @NachoSantos7 me dejo congelado. Por algo es el amo de los ratings!!!
665,@NeneAlfaroB Amén! En serio hay q hacerlo
666,Mis anteojos están demasiado flojos y eso que tienen meses de comprados
667,Yo solo estoy pensando en proteger a mis gatos y a la perrita
668,Segundo cuarto y Golden ya lleva 73 puntos
669,"@KimSalas21 La vida conspira en contra de uno, que injusto jaja."
670,"En Curridabat muy calmado, ni una gota de agua y hasta caliente está 20°v... #nomegusta"
671,@car_hidalgo lo hacen a diario. Hoy es más palpable por la emergencia. ️
672,"@vesamo13 ok, vea el lado positivo, tiene un motivo para hacerle drama el resto de si vida."
673,"@gaby_mata25 La voz sepsi que debe tener Que dicha Gaby! Ya el lunes regresará ""con toda la pata"""
674,Esta va a ser la noche más larga para muchos
675,@conoche repollo Ud últimamente como que muy amargo
676,@tvnnoticias No para esa hora. Es devastador el efecto de #OttoCR en mi país en realidad
677,"@GLOri_177 Gloria, ¿en serio? Es muy probable, qué triste."
678,Hoy puede ser el penúltimo capítulo de Ragnar Lothbrok
679,Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda
680,@WancitoCubero @ericsolanog Me uno a la triste historia de no vacas
681,"Que chiva pasar debajo del puente de la platina, siempre he querido ...es en serio."
682,"¡¡EL PUEBLO MÁS BONITO DE ESPAÑA 2016!! Enhorabuena @viniegradeabajo Sólo Rioja, sólo bueno"
683,@Bejardo ahh no eso fijo... Pero en este caso en especifico hablo solamente de vestimenta
684,Estoy solita en la oficina... pondré mis vídeos de cosas paranormales sin audífonos
685,@gat1tu sólo viste feo... Lo demás todo ok
686,Ayer inicie con mi proyecto de hacerme mi propia huerta
687,Que dicha que hay trabajo y salud y vacaciones también
688,@joharoversi ja ja pero está precioso el condenado.
689,Juegos de pólvora y mi perrito asustado
690,@_Star_Vader tanto libro chiva que hay Y buen punto... Comida entonces
691,@Chamo_A_ la hijueputa tela se me salió. yo quería volver a quedar acostada.
692,Estoy así de no salir hoy.
693,Vamos a pasar año nuevo a la playa No? Bueno
694,Extraño todo de Belén Es tan chiva...
695,Y nos vamos encontrando a un ex en el hotel...
696,Mi hermano y yo convertimos el comedor principal en un café internet
697,"@edgumaco me acuerdo de la clínica Norza, el Peri, las casas en lotes llobet dañadas"
698,Todavía no me he comido un maldito tamal
699,@oviedo_6 yo personalmente lo bloquearía inmediatamente pero al final yo no soy una belleza so
700,Hoy tuve mi primera premier y fue un éxito
701,@Jefersonserrano @luisricardo_28 @danielugalde07 @Stedich7 nombres yo llego hasta las 10:30 sábado a las 7 AM mejor jajaja
702,@vale24_12 siempre es bueno la opinión de un playo
703,Soy el ser más distraído del mundo
704,ojala que te de un bloqueo mas grande que el de mi cel
705,Toda mi familia va a estar dormida en mi graduación
706,Espero que mi jefe me de mañana libre
707,"@Ka_Arroyo_ jajaja yo nunca spoileo, eso lo odio pero le recomiendo no meterse a Tw mañana"
708,"@hippielandsoul Yo defendía un poquito el 2016, ya no."
709,@valeriazumbado Esto es lo más triste :! Pero espero que el 24 sí
710,"@AfichesManudos Con las rayas más gruesas, me gusta Pumas sabe lo que hace"
711,@vrandrd bueno igual la veré porque el protagonista es muy guapo
712,Para mi mamá toda la ropa que escojo es fea hasta que me la ve puesta
713,Llevaba tiempo de no estar tan quemada
714,"@germangn09 pero igual es feo, horrible, espantoso"
715,"@LisethBriceno rajado que si, lo voy a extrañar un poquito"
716,"Buen día @Dr_ivrecagu muchas gracias por su comentario, es un gusto servirle."
717,Sería la mejor compañía para Marce y Osquitar  Bueno y yo
718,@HenAubSol17 yo estoy igual... Hoy pequé feo
719,Feliz terminé cuatri fue un éxito . Ahora sueño con algo grande
720,"@ReinerJosueUH que raro, el mío si es real"
721,Mis lunes no volverán a ser iguales @Luis_GadeaA
722,"@victorA_perez Ah bueno, gracias por estar taaaan pendiente de nosotros"
723,Ayer me dieron una botella y le pegue un trago pensando que era yin o Fresca gracias marifer
724,@Leiva89 lo puse y ví la INT de Manning. Está empezando igual
725,@conejoceni01 dígame que no es caro porque ya estoy bien pobre
726,Amo la nueva canción de Sofía Reyes
727,Ya no me quiero mover Estúpidos aeropuertos.
728,La próxima vez que vaya a un bar hasta me sirvo yo solo.
729,Me corte el pelo y me siento demasiado pelona
730,mañana tengo el día libre y no tengo nada más que hacer que dormir
731,Cada vez que veo a esa muchacha está más guapa
732,@Lalusa @moboza @Andrey_Amador errar es d humanos. no debe d pasar a más.
733,@charlie10cr seguro las productoras estaban centradas en traer los de siempre
734,"Tener grandes eectativas a futuro, eso es vida"
735,"@ignaciosolisw ya yo voy de vuelta, pero le dejé la pampa lindísima"
736,"Me voy mañana para la playa, confiando que el sol me quite esta gripe tan horrible."
737,Envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio
738,@KaroRC4 hay unos que son casi misión imposible pero está super lindo
739,"@cotarola Te mando un abrazo. Vienen días duros, pero se superan eventualmente"
740,No me arrepiento de nada ah Ojalá tuviera dinero infinito
741,Cuando queres comprar muchas cosas pero eres pobre
742,Lo extraño demasiado! 5 días es demasiado para mí
743,@zeroanima Esto me hizo feliz pero aun mas triste por no poder teletrabajar
744,"@cmfluisangel ...Misionero ideal, Oh Claret! ...109 beatos nuevos"
745,Mañana que entonces? -Yo buscando donde pasar navidad por que me dejaron solo
746,Me da tanta playada tener que ponerle el cono de nuevo a whiska
747,"Quiero amigos que le gusten mis gustos musicales, ya tengo pero viven largo"
748,Qué rico el silencio de mi cuarto
749,"Desayuno guanacasteco Hoy es Nochebuena, hoy damos vueltita por Nicoya"
750,"Pensé hacer algo con Belén y machu, pero de nuevo me dejaron sola"
751,"Feliz navidad, feliz navidad, feliz navidad y feliz navidad"
752,@__el_Negro ah mae que duro eso en este día
753,@Chelo1478 porque si digo que quiero mamón chino me dicen una vulgaridad
754,@gaby_mata25 @LuisEs22 Fue la última vez que fuimos al cine
755,"@moriuper hola! No, ya no hay más sur"
756,"@KimberlyReyesC4 Como te digo, come maaaas y en mi casa sólo estamos mamá y yo"
757,"@Jey_Gut Aun no tenemos fechas definidas, pero te avisamos apenas sepamos"
758,@msalgadocr de fijoooo. Y luego juntos olvidamos que fuimos a Palmares
759,"@eebenitez_ Jajaja es muy triste esto, pero ya hoy consigo otro"
760,Mami se acaba de ir y ya la extraño
761,@JuanamartinezH Seguirme es lo único que tienes que hacer.
762,Ayer lloré viendo a @AlexBadilla en el snap que playada
763,@CNCOmusic reggaeton lento la canción del fin de año
764,"@BrujaMalvada_ no tengo en la casa apenas entre, te mando uno así jaja"
765,@argmau deben ser mejores las que no me hacen menchon
766,"Estoy viendo #Bridegroom en Netflix y me tiene de un puro moco, véanla!"
767,Ser productora radiofónica es lo mejor de la vida
768,@nubecina @grassengel pero no están en el cantón central de SJO
769,Si ocupan gente para una mejenga yo estoy disponible
770,@jatenas @Amareto Abrazote enorme!! Sos un éxito!
771,@Jovel_Alvarez no sé si a todos les funcione pero ¡nosotros sí que lo vemos cumplido!
772,Quiero como tener carro para hacer todo rápido
773,Tristeza más hp me da siempre en año nuevo
774,no encuentro ninguna buena serie en NF.
775,@Alphasniper97 Alpha suerte y ten un feliz año 2017
776,"@sancarlena77 @miguelpintor05 @demalaspalabras sip, te entendí por tu tuit anterior"
